Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,21,0.9,0.2,0.5050061611754063
100% Corpus,21,0.9,0.5,0.5728773313889771
100% Corpus,21,0.9,0.7,0.644511972386927
100% Corpus,21,0.9,0.9,0.6305643189053134
100% Corpus,21,0.9,1.5,0.5324587889069721
100% Corpus,21,0.9,auto,0.4835448750689085
100% Corpus,21,1.5,0.15,0.5044487621292861
100% Corpus,21,1.5,0.2,0.49819017878701527
100% Corpus,21,1.5,0.5,0.4798230334231374
100% Corpus,21,1.5,0.7,0.4881496654435706
100% Corpus,21,1.5,0.9,0.4720280462635161
100% Corpus,21,1.5,1.5,0.3498784777695051
100% Corpus,21,1.5,auto,0.49626614421463117
100% Corpus,21,1.75,0.15,0.5172928020427539
100% Corpus,21,1.75,0.2,0.5063525715249945
100% Corpus,21,1.75,0.5,0.4914806863631617
100% Corpus,21,1.75,0.7,0.46622067045734106
100% Corpus,21,1.75,0.9,0.4376017360664877
100% Corpus,21,1.75,1.5,0.35013741799215015
100% Corpus,21,1.75,auto,0.49656097665488225
100% Corpus,21,auto,0.15,0.4927086186462456
100% Corpus,21,auto,0.2,0.48866081682801604
100% Corpus,21,auto,0.5,0.47423345483406765
100% Corpus,21,auto,0.7,0.4765192064336395
100% Corpus,21,auto,0.9,0.49915796878087254
100% Corpus,21,auto,1.5,
100% Corpus,21,auto,auto,0.4265456388086372
100% Corpus,23,0.15,0.15,0.4697351305474288
100% Corpus,23,0.15,0.2,0.481120266350512
100% Corpus,23,0.15,0.5,0.5154339601186324
100% Corpus,23,0.15,0.7,0.5315209003093896
100% Corpus,23,0.15,0.9,0.557726799261477
100% Corpus,23,0.15,1.5,0.5394500291040878
100% Corpus,23,0.15,auto,0.4440726753253434
100% Corpus,23,0.2,0.15,0.4640814052500449
100% Corpus,23,0.2,0.2,0.4707323601762794
100% Corpus,23,0.2,0.5,0.45297121905006177
100% Corpus,23,0.2,0.7,0.526082388343309
100% Corpus,23,0.2,0.9,0.5504023712276387
100% Corpus,23,0.2,1.5,0.5680188222307053
100% Corpus,23,0.2,auto,0.4689203842561415
100% Corpus,23,0.5,0.15,0.47899942760390796
100% Corpus,23,0.5,0.2,0.48624037058895736
100% Corpus,23,0.5,0.5,0.4899016244288966
100% Corpus,23,0.5,0.7,0.4924722310667771
100% Corpus,23,0.5,0.9,0.5313580317827283
100% Corpus,23,0.5,1.5,0.6474217940365726
